City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Любашівка,2021,8,20.5,30.4,11.4,2.1,103.2,0.0
Любашівка,2021,9,13.9,26.3,3.6,2.1,18.0,0.0
Любашівка,2021,10,8.1,20.7,-0.9,2.2,14.2,0.0
Любашівка,2021,11,5.1,18.5,-8.4,2.8,25.6,0.0
Любашівка,2021,12,-0.3,10.9,-12.9,3.3,72.0,15.0
Маріуполь,2021,1,-1.2,8.2,-19.4,4.6,93.5,13.0
Маріуполь,2021,2,-2.1,8.0,-13.3,4.5,21.6,0.7
Маріуполь,2021,3,2.1,12.5,-11.4,4.5,50.0,4.0
Маріуполь,2021,4,8.6,15.9,0.4,4.0,38.4,0.0
Маріуполь,2021,5,16.8,30.2,5.5,4.3,37.5,0.0
Маріуполь,2021,6,21.2,29.2,12.1,4.2,201.8,0.0
Маріуполь,2021,7,25.6,35.8,15.1,3.7,172.2,0.0
Маріуполь,2021,8,24.0,31.0,16.4,3.7,108.2,0.0
Маріуполь,2021,9,15.7,26.5,6.0,3.8,37.7,0.0
Маріуполь,2021,10,9.5,16.2,-3.2,5.6,5.0,0.0
Маріуполь,2021,11,5.4,13.6,-5.7,4.0,45.7,0.0
Маріуполь,2021,12,1.3,9.5,-13.5,5.0,109.9,12.0
Миронівка,2021,1,-2.3,9.3,-21.4,2.3,56.6,21.0
Миронівка,2021,2,-4.7,9.5,-18.6,2.4,49.3,28.0
Миронівка,2021,3,2.3,15.2,-7.8,3.0,28.3,9.0
Миронівка,2021,4,7.7,22.3,-2.1,2.4,47.2,8.0
Миронівка,2021,5,14.5,25.2,2.0,2.6,87.0,0.0
Миронівка,2021,6,20.1,33.5,7.8,2.4,109.4,0.0
Миронівка,2021,7,23.3,32.3,11.8,1.6,111.2,0.0
Миронівка,2021,8,20.5,32.2,10.9,2.0,88.1,0.0
Миронівка,2021,9,13.2,26.2,2.2,2.0,18.7,0.0
Миронівка,2021,10,7.6,18.1,-1.2,1.9,17.8,0.0
Миронівка,2021,11,4.8,15.2,-7.3,2.6,25.5,5.0
Миронівка,2021,12,-1.1,8.2,-12.7,2.7,63.3,5.0
Могилів-Подільський,2021,1,-0.3,11.6,-17.6,1.5,27.9,3.0
Могилів-Подільський,2021,2,-1.4,16.1,-17.2,1.6,36.1,10.0
Могилів-Подільський,2021,3,3.1,15.8,-5.3,1.5,38.0,2.0
Могилів-Подільський,2021,4,8.0,22.2,-2.7,1.3,25.1,0.0
Могилів-Подільський,2021,5,15.0,26.2,1.2,1.7,98.2,0.0
Могилів-Подільський,2021,6,20.5,34.5,4.0,1.6,66.0,0.0
Могилів-Подільський,2021,7,23.2,34.0,11.8,1.2,97.8,0.0
Могилів-Подільський,2021,8,20.7,34.2,10.6,1.3,86.5,0.0
Могилів-Подільський,2021,9,14.1,27.6,3.1,1.4,12.3,0.0
Могилів-Подільський,2021,10,8.3,21.3,-2.0,1.2,0.6,0.0
Могилів-Подільський,2021,11,5.9,19.8,-7.0,1.4,10.4,0.0
Могилів-Подільський,2021,12,0.4,11.5,-13.6,1.6,77.8,18.0
Ніжин,2021,1,-3.2,7.2,-22.6,3.0,59.7,21.0
Ніжин,2021,2,-6.2,10.6,-20.7,2.6,58.6,43.0
Ніжин,2021,3,1.6,14.8,-10.9,2.6,17.6,10.0
Ніжин,2021,4,7.3,20.7,-2.7,2.2,62.2,0.0
Ніжин,2021,5,14.1,24.4,0.4,2.3,70.4,0.0
Ніжин,2021,6,20.7,35.6,5.2,2.0,17.8,0.0
Ніжин,2021,7,23.4,32.8,12.4,1.5,66.0,0.0
Ніжин,2021,8,20.3,32.0,9.6,1.8,78.3,0.0
Ніжин,2021,9,12.1,26.4,2.5,1.8,66.5,0.0
Ніжин,2021,10,6.9,16.2,-2.3,1.9,24.1,0.0
Ніжин,2021,11,3.6,13.6,-8.5,2.7,35.4,0.0
Ніжин,2021,12,-2.2,8.2,-14.1,2.8,53.1,2.0
Миколаїв,2021,1,-0.4,11.7,-19.9,4.5,67.9,7.0
Миколаїв,2021,2,-1.0,16.2,-17.8,4.5,34.5,3.0
Миколаїв,2021,3,3.5,15.0,-7.1,4.4,23.6,2.0
Миколаїв,2021,4,8.7,18.9,-0.9,3.9,36.8,0.0
Миколаїв,2021,5,15.5,28.2,3.8,4.0,108.6,0.0
Миколаїв,2021,6,20.1,33.2,9.8,3.7,107.5,0.0
Миколаїв,2021,7,24.8,34.9,15.7,3.5,93.5,0.0
Миколаїв,2021,8,23.1,33.6,13.9,3.9,54.4,0.0
Миколаїв,2021,9,15.6,29.2,5.5,3.9,35.4,0.0
Миколаїв,2021,10,9.5,21.7,-1.2,4.2,39.4,0.0
Миколаїв,2021,11,6.3,17.2,-5.1,3.9,29.8,0.0
Миколаїв,2021,12,1.5,12.3,-11.4,4.5,51.3,8.0
Звягель,2021,1,-2.4,9.1,-20.7,1.7,60.0,15.0
Звягель,2021,2,-4.0,9.3,-21.3,1.7,76.7,42.0
Звягель,2021,3,1.8,14.8,-7.1,1.7,51.9,14.0
Звягель,2021,4,7.1,18.6,-2.4,1.6,44.3,1.0
Звягель,2021,5,13.8,22.8,2.8,1.6,95.5,0.0
Звягель,2021,6,20.2,33.0,4.8,1.1,48.3,0.0
Звягель,2021,7,23.3,33.0,11.0,1.1,98.5,0.0
Звягель,2021,8,18.5,30.2,9.6,1.0,86.2,0.0
Звягель,2021,9,12.4,25.1,2.9,1.2,52.6,0.0
Звягель,2021,10,7.7,19.6,-2.4,1.5,2.7,0.0
Звягель,2021,11,4.7,15.0,-5.3,1.8,19.8,0.0
Звягель,2021,12,-1.9,8.5,-14.5,1.6,84.5,8.0
Нова Каховка,2021,1,0.6,11.9,-17.7,2.6,67.4,2.0
Нова Каховка,2021,2,-0.3,15.7,-13.1,2.8,12.7,2.0
Нова Каховка,2021,3,3.5,14.0,-8.4,2.7,51.7,1.0
Нова Каховка,2021,4,9.1,21.7,0.0,2.3,42.6,0.0
Нова Каховка,2021,5,16.3,27.9,3.6,2.1,52.8,0.0
Нова Каховка,2021,6,20.6,33.9,11.2,2.1,143.1,0.0
Нова Каховка,2021,7,25.3,34.7,15.9,2.2,106.5,0.0
Нова Каховка,2021,8,24.5,33.5,15.3,2.1,50.5,0.0
Нова Каховка,2021,9,16.3,28.1,6.8,2.3,15.6,0.0
Нова Каховка,2021,10,11.1,22.1,1.4,3.0,3.1,0.0
Нова Каховка,2021,11,7.1,21.3,-2.7,2.3,41.1,0.0
Нова Каховка,2021,12,2.2,12.9,-11.8,2.9,68.1,5.0
Нова Ушиця,2021,1,-2.0,7.9,-19.0,2.3,31.1,6.0
Нова Ушиця,2021,2,-2.9,12.8,-19.2,2.6,44.1,9.0
Нова Ушиця,2021,3,1.8,12.7,-5.6,2.2,44.5,5.0
Нова Ушиця,2021,4,7.1,20.1,-2.1,2.2,27.5,1.0
Нова Ушиця,2021,5,13.8,23.7,2.0,2.4,66.8,0.0
Нова Ушиця,2021,6,19.5,32.0,8.4,1.6,52.1,0.0
Нова Ушиця,2021,7,22.3,31.4,12.0,1.4,141.0,0.0
Нова Ушиця,2021,8,18.8,29.8,9.6,1.5,113.6,0.0
Нова Ушиця,2021,9,13.0,24.7,3.5,2.0,28.3,0.0
Нова Ушиця,2021,10,7.9,18.6,-1.2,1.9,1.2,0.0
Нова Ушиця,2021,11,4.7,16.8,-5.0,2.3,13.2,0.0
Нова Ушиця,2021,12,-1.4,9.0,-14.9,2.4,64.5,9.0
Новомиргород,2021,1,-2.3,9.7,-23.2,2.4,54.7,19.0
Новомиргород,2021,2,-4.7,8.5,-22.3,2.4,47.9,25.0
Новомиргород,2021,3,1.9,14.7,-10.2,2.5,26.7,11.0
Новомиргород,2021,4,7.5,21.0,-3.3,2.1,24.7,0.0
Новомиргород,2021,5,14.5,25.5,1.3,2.3,106.0,0.0
Новомиргород,2021,6,19.6,32.2,8.7,2.1,74.0,0.0
Новомиргород,2021,7,23.1,32.6,12.2,1.4,87.5,0.0
Новомиргород,2021,8,20.2,31.4,9.3,1.7,113.9,0.0
Новомиргород,2021,9,12.7,26.5,2.7,1.6,70.6,0.0
Новомиргород,2021,10,7.5,18.2,-3.1,1.8,29.4,0.0
Новомиргород,2021,11,4.4,15.1,-7.8,2.1,39.5,1.0
Новомиргород,2021,12,-0.7,11.3,-14.0,2.6,84.5,15.0
Овруч,2021,1,-3.3,6.9,-23.6,1.4,82.2,15.0
Овруч,2021,2,-5.1,12.6,-24.0,1.5,71.9,40.0
Овруч,2021,3,1.7,15.0,-10.2,1.6,44.5,6.0
Овруч,2021,4,7.0,20.0,-2.0,1.5,47.2,0.0
Овруч,2021,5,13.6,23.8,2.0,1.5,106.0,0.0
Овруч,2021,6,20.3,35.0,5.4,1.2,9.9,0.0
Овруч,2021,7,23.1,33.7,12.0,0.8,57.5,0.0
Овруч,2021,8,18.7,30.8,9.1,1.0,89.8,0.0
Овруч,2021,9,12.0,24.7,3.5,1.2,45.2,0.0
Овруч,2021,10,7.3,19.2,-3.0,1.3,3.0,0.0
Овруч,2021,11,3.9,14.0,-4.9,1.6,22.2,0.0
Овруч,2021,12,-2.4,7.2,-14.6,1.3,64.2,9.0
Одеса,2021,1,1.2,10.6,-15.5,3.1,115.1,22.0
Одеса,2021,2,0.8,17.3,-11.1,2.9,50.6,7.0
Одеса,2021,3,3.9,12.1,-3.4,2.8,27.8,1.0
Одеса,2021,4,8.5,15.2,1.8,2.2,38.8,0.0
Одеса,2021,5,15.0,24.5,5.7,2.4,62.7,0.0
Одеса,2021,6,20.1,31.5,9.7,2.1,110.5,0.0
Одеса,2021,7,24.8,33.1,16.9,1.6,99.3,0.0
Одеса,2021,8,23.4,31.5,15.2,1.8,42.0,0.0
Одеса,2021,9,16.8,28.8,7.3,2.1,13.8,0.0
Одеса,2021,10,11.1,20.9,4.9,3.1,25.3,0.0
Одеса,2021,11,8.3,15.5,-1.0,2.7,25.6,0.0
Одеса,2021,12,3.0,12.2,-9.4,3.2,88.6,5.0
Олевськ,2021,1,-2.7,9.1,-22.0,2.2,64.7,17.0
Олевськ,2021,2,-4.4,13.2,-25.2,2.3,68.1,47.0
Олевськ,2021,3,1.6,16.2,-10.4,2.5,42.8,6.0
Олевськ,2021,4,6.6,19.8,-4.0,2.4,58.5,0.0
Олевськ,2021,5,13.5,23.3,1.0,2.6,87.6,0.0
Олевськ,2021,6,20.1,35.3,3.7,2.1,28.4,0.0
Олевськ,2021,7,23.0,34.1,8.4,1.8,35.8,0.0
Олевськ,2021,8,17.7,29.6,6.6,1.7,86.0,0.0
Олевськ,2021,9,11.7,24.8,0.3,2.0,52.1,0.0
Олевськ,2021,10,7.3,20.9,-5.3,2.4,5.2,0.0
Олевськ,2021,11,4.3,13.6,-6.8,2.7,34.8,0.0
Олевськ,2021,12,-2.2,8.4,-16.5,2.5,73.1,11.0
Полтава,2021,1,-2.6,7.0,-21.6,2.3,78.6,6.0
Полтава,2021,2,-5.0,10.2,-17.8,2.4,74.2,7.0
Полтава,2021,3,1.5,12.0,-11.0,2.5,12.7,3.0
Полтава,2021,4,8.1,19.8,0.1,1.7,53.4,0.0
Полтава,2021,5,15.5,27.9,3.6,2.5,58.5,0.0
Полтава,2021,6,20.2,32.8,8.6,2.5,134.9,0.0
Полтава,2021,7,24.2,33.2,13.2,2.1,18.7,0.0
Полтава,2021,8,22.7,32.6,12.4,2.0,71.2,0.0
Полтава,2021,9,13.5,26.8,3.8,1.8,42.7,0.0
Полтава,2021,10,8.2,18.6,-2.5,1.9,5.1,0.0
Полтава,2021,11,4.2,15.4,-8.6,2.0,45.9,0.0
Полтава,2021,12,-1.5,9.7,-14.4,2.4,46.1,12.0
Прилуки,2021,1,-3.3,7.7,-23.8,2.5,67.7,26.0
Прилуки,2021,2,-6.5,8.0,-21.4,2.0,36.8,32.0
Прилуки,2021,3,1.7,14.9,-11.2,2.6,13.0,14.0
Прилуки,2021,4,7.3,21.3,-2.7,2.1,62.2,1.0
Прилуки,2021,5,14.3,25.1,-0.1,2.4,91.9,0.0
Прилуки,2021,6,20.6,35.1,6.6,2.1,43.6,0.0
Прилуки,2021,7,23.5,32.0,11.2,1.4,46.6,0.0
Прилуки,2021,8,20.6,32.0,11.3,1.6,48.9,0.0
Прилуки,2021,9,12.3,26.3,3.3,1.7,80.0,0.0
Прилуки,2021,10,7.1,18.2,-3.9,1.6,38.7,0.0
Прилуки,2021,11,3.9,13.6,-7.6,2.3,40.8,0.0
Прилуки,2021,12,-1.9,8.1,-14.2,2.3,55.7,2.0
Пришиб,2021,1,-0.9,9.6,-21.2,2.8,59.0,6.0
Пришиб,2021,2,-2.0,14.8,-15.0,2.5,18.8,4.0
Пришиб,2021,3,2.5,14.2,-12.0,2.6,43.8,1.0
Пришиб,2021,4,8.7,21.0,-0.2,2.2,35.8,0.0
Пришиб,2021,5,16.1,28.6,1.2,2.6,25.6,0.0
Пришиб,2021,6,20.2,32.5,12.0,2.3,152.1,0.0
Пришиб,2021,7,24.6,34.4,13.9,2.4,65.4,0.0
Пришиб,2021,8,23.9,34.4,15.0,2.2,23.8,0.0
Пришиб,2021,9,14.9,28.3,2.8,2.5,17.0,0.0
Пришиб,2021,10,9.3,20.4,-5.2,3.2,0.5,0.0
Пришиб,2021,11,5.1,15.2,-7.4,2.7,31.0,1.0
Пришиб,2021,12,1.0,12.0,-17.0,3.5,51.6,4.0
Рава Руська,2021,1,-1.2,10.7,-19.3,2.5,65.5,16.0
Рава Руська,2021,2,-2.1,14.0,-18.3,3.0,78.1,39.0
Рава Руська,2021,3,2.6,18.5,-6.1,2.9,27.5,1.0
Рава Руська,2021,4,6.3,20.8,-3.7,2.8,59.7,1.0
Рава Руська,2021,5,12.8,24.3,2.0,3.0,66.1,0.0
Рава Руська,2021,6,18.9,32.9,5.6,2.0,81.5,0.0
Рава Руська,2021,7,22.2,33.3,12.2,1.9,59.0,0.0
Рава Руська,2021,8,17.6,31.0,7.2,2.1,88.1,0.0
Рава Руська,2021,9,12.8,25.3,2.6,2.3,64.3,0.0
Рава Руська,2021,10,8.1,18.8,-3.1,2.3,8.8,0.0
Рава Руська,2021,11,4.4,15.9,-4.1,2.4,28.0,0.0
Рава Руська,2021,12,-1.6,8.6,-17.6,2.9,59.0,8.0
Рахів,2021,1,-1.0,6.0,-11.8,0.5,110.7,20.0
Рахів,2021,2,-0.3,15.8,-13.4,0.5,145.2,15.0
Рахів,2021,3,2.0,16.7,-7.1,1.0,44.3,4.0
Рахів,2021,4,6.5,27.5,-2.9,0.7,93.3,2.0
Рахів,2021,5,12.6,27.4,0.6,0.8,147.8,0.0
Рахів,2021,6,17.4,31.6,4.5,0.7,98.3,0.0
Рахів,2021,7,20.5,31.5,12.0,0.5,147.3,0.0
Рахів,2021,8,17.6,29.4,8.3,0.5,137.7,0.0
Рахів,2021,9,13.1,26.3,4.8,0.5,90.5,0.0
Рахів,2021,10,7.1,22.3,-3.2,0.6,8.6,0.0
Рахів,2021,11,3.8,20.6,-4.3,0.4,108.5,0.0
Рахів,2021,12,-0.6,6.2,-16.0,0.7,143.8,23.0
Рівне,2021,1,-2.9,8.2,-23.0,4.1,42.2,11.0
Рівне,2021,2,-4.8,6.4,-20.6,4.2,64.7,33.0
Рівне,2021,3,1.2,16.4,-8.6,4.0,41.3,5.0
Рівне,2021,4,6.4,19.7,-3.1,4.3,24.8,5.0
Рівне,2021,5,13.2,23.5,0.0,4.3,65.2,0.0
Рівне,2021,6,19.5,33.5,4.4,3.0,38.7,0.0
Рівне,2021,7,22.7,34.0,9.1,2.5,41.9,0.0
Рівне,2021,8,17.7,30.3,8.6,2.8,112.9,0.0
Рівне,2021,9,12.4,25.6,2.4,3.1,79.0,0.0
Рівне,2021,10,7.7,19.0,-2.9,3.8,2.5,0.0
Рівне,2021,11,4.3,15.0,-6.3,4.4,27.9,0.0
Рівне,2021,12,-3.0,7.8,-18.3,4.1,90.6,11.0
Ромни,2021,1,-3.7,7.2,-24.1,1.8,63.3,17.0
Ромни,2021,2,-6.5,9.3,-20.2,1.8,60.7,30.0
Ромни,2021,3,1.1,13.3,-11.9,2.2,17.9,11.0
Ромни,2021,4,7.3,20.3,-1.5,1.5,56.1,0.0
Ромни,2021,5,14.3,25.6,1.1,1.8,98.0,0.0
Ромни,2021,6,20.2,34.3,6.7,1.5,39.0,0.0
Ромни,2021,7,23.5,32.0,11.2,1.2,41.9,0.0
Ромни,2021,8,21.1,32.1,11.3,1.5,52.2,0.0
Ромни,2021,9,12.2,27.1,2.3,1.6,79.6,0.0
Ромни,2021,10,6.9,18.0,-2.1,1.4,29.3,0.0
Ромни,2021,11,3.4,14.0,-9.0,2.0,43.0,0.0
Ромни,2021,12,-2.4,6.7,-14.8,1.7,60.9,8.0
Сарни,2021,1,-2.5,8.3,-24.4,2.1,57.2,15.0
Сарни,2021,2,-4.2,13.3,-23.0,2.2,45.8,28.0
Сарни,2021,3,1.7,18.5,-9.0,2.7,47.7,4.0
Сарни,2021,4,6.8,20.3,-4.4,2.6,46.5,0.7
Сарни,2021,5,13.4,23.7,1.6,2.9,74.7,0.0
Сарни,2021,6,20.4,34.9,4.4,2.3,49.1,0.0
Сарни,2021,7,23.1,34.3,10.0,1.7,84.6,0.0
Сарни,2021,8,17.9,29.9,8.9,2.0,79.6,0.0
Сарни,2021,9,12.1,25.4,1.0,2.2,45.9,0.0
Сарни,2021,10,7.7,19.8,-3.9,2.5,2.3,0.0
Сарни,2021,11,4.5,13.9,-6.1,2.9,30.6,0.0
Сарни,2021,12,-2.5,8.4,-19.1,2.8,76.7,8.0
Світловодськ,2021,1,-1.2,9.2,-20.7,3.0,43.9,5.0
Світловодськ,2021,2,-4.1,11.2,-19.7,3.0,61.0,6.0
Світловодськ,2021,3,1.9,13.8,-8.0,2.7,21.8,6.0
Світловодськ,2021,4,8.1,21.4,-0.9,2.3,42.8,0.0
Світловодськ,2021,5,15.5,27.6,5.3,2.4,78.4,0.0
Світловодськ,2021,6,21.1,35.4,9.4,2.2,37.0,0.0
Світловодськ,2021,7,25.2,33.5,15.8,1.9,28.2,0.0
Світловодськ,2021,8,22.9,34.3,12.2,2.3,105.4,0.0
Світловодськ,2021,9,14.5,26.2,5.0,2.0,88.9,0.0
Світловодськ,2021,10,8.8,18.2,-2.7,2.3,19.4,0.0
Світловодськ,2021,11,5.1,15.3,-8.6,2.6,33.7,1.0
Світловодськ,2021,12,0.1,11.2,-14.1,3.3,46.4,7.0
Селятин,2021,1,-3.7,9.2,-23.8,0.8,25.7,16.0
Селятин,2021,2,-3.1,16.2,-20.7,0.9,64.5,39.0
Селятин,2021,3,-1.8,12.0,-16.1,1.0,83.3,39.0
Селятин,2021,4,3.1,17.0,-8.8,1.1,37.1,16.0
Селятин,2021,5,10.1,24.9,-4.5,1.1,97.4,0.0
Селятин,2021,6,14.5,29.2,3.9,1.0,151.4,0.0
Селятин,2021,7,18.3,30.7,7.7,0.9,68.4,0.0
Селятин,2021,8,15.8,30.4,3.7,1.1,45.5,0.0
Селятин,2021,9,10.6,23.2,-1.5,0.9,47.6,0.0
Селятин,2021,10,3.9,19.5,-7.0,0.8,9.6,0.0
Селятин,2021,11,1.7,17.8,-9.2,0.6,16.6,1.0
Селятин,2021,12,-3.5,6.3,-26.2,0.7,97.2,45.0
Семенівка,2021,1,-4.2,5.9,-25.1,3.0,54.8,22.0
Семенівка,2021,2,-8.0,8.5,-26.3,2.9,62.4,46.0
Семенівка,2021,3,0.5,13.7,-14.9,3.1,21.5,16.0
Семенівка,2021,4,6.8,20.2,-2.7,2.7,39.6,1.0
Семенівка,2021,5,13.5,24.5,-0.5,2.9,82.5,0.0
Семенівка,2021,6,20.0,35.7,5.8,2.6,39.0,0.0
Семенівка,2021,7,22.7,32.9,9.3,1.7,54.4,0.0
Семенівка,2021,8,19.5,31.8,7.2,2.3,71.1,0.0
Семенівка,2021,9,10.8,25.6,-1.3,2.4,82.7,0.0
Семенівка,2021,10,6.4,18.2,-3.5,2.5,35.3,0.0
Семенівка,2021,11,2.7,12.8,-11.4,3.4,33.9,0.0
Семенівка,2021,12,-3.3,4.3,-13.9,3.2,40.1,6.0
Сімферополь,2021,1,3.6,15.5,-14.4,4.8,52.6,5.0
Сімферополь,2021,2,1.9,18.6,-13.5,5.1,41.3,13.0
Сімферополь,2021,3,3.5,18.8,-8.0,4.5,35.9,4.0
Сімферополь,2021,4,9.1,20.0,0.5,4.4,34.2,0.0
Сімферополь,2021,5,16.2,28.9,4.5,4.2,78.7,0.0
Сімферополь,2021,6,19.6,29.1,12.2,4.0,65.0,0.0
Сімферополь,2021,7,24.9,35.8,15.9,4.5,68.7,0.0
Сімферополь,2021,8,24.2,36.0,16.2,3.6,86.0,0.0
Сімферополь,2021,9,16.0,26.8,7.2,4.3,89.3,0.0
Сімферополь,2021,10,10.1,20.1,1.6,5.1,6.6,0.0
Сімферополь,2021,11,8.4,24.5,-3.0,4.1,47.8,0.0
Сімферополь,2021,12,5.2,21.1,-10.9,4.9,97.2,8.0
Славське,2021,1,-2.0,8.8,-18.1,1.4,81.3,14.0
Славське,2021,2,-2.3,14.0,-18.7,1.3,82.3,22.0
Славське,2021,3,-0.4,14.4,-13.0,1.4,68.5,12.0
Славське,2021,4,3.9,18.0,-7.2,1.4,65.0,12.0
Славське,2021,5,10.7,25.4,-2.6,1.6,85.0,0.0
Славське,2021,6,15.8,31.9,1.6,1.1,77.8,0.0
Славське,2021,7,19.1,30.5,9.4,1.0,141.4,0.0
Славське,2021,8,15.4,28.3,6.9,1.0,126.3,0.0
Славське,2021,9,11.1,23.7,1.4,1.0,64.6,0.0
Славське,2021,10,5.3,21.8,-6.6,1.0,5.9,0.0
Славське,2021,11,2.7,14.0,-7.4,1.1,60.6,2.0
Славське,2021,12,-3.2,3.9,-21.2,1.0,115.5,32.0
Суми,2021,1,-3.9,7.3,-24.1,4.0,58.1,10.0
Суми,2021,2,-7.1,7.6,-21.2,3.7,50.8,17.0
Суми,2021,3,0.6,11.6,-10.7,3.7,15.3,3.0
Суми,2021,4,7.4,20.9,-2.7,3.2,57.7,0.0
Суми,2021,5,14.6,27.3,2.1,3.7,61.8,0.0
Суми,2021,6,20.2,34.7,6.6,3.0,85.8,0.0
Суми,2021,7,23.4,32.3,11.2,2.2,28.2,0.0
Суми,2021,8,21.5,32.7,9.8,2.4,51.7,0.0
Суми,2021,9,12.0,26.7,0.1,2.3,41.7,0.0
Суми,2021,10,6.6,17.7,-5.1,2.8,6.2,0.0
Суми,2021,11,3.0,14.7,-10.3,3.9,49.6,1.0
Суми,2021,12,-3.0,8.5,-17.4,3.7,51.4,8.0
Тернопіль,2021,1,-2.3,6.4,-17.6,4.0,25.8,7.0
Тернопіль,2021,2,-3.8,10.6,-21.4,4.1,56.4,18.0
Тернопіль,2021,3,1.3,13.3,-6.7,4.0,43.7,4.0
Тернопіль,2021,4,6.2,19.0,-3.2,4.0,18.4,1.0
Тернопіль,2021,5,13.1,23.0,1.2,4.5,46.3,0.0
Тернопіль,2021,6,19.0,31.5,8.1,3.8,53.7,0.0
Тернопіль,2021,7,21.6,32.0,12.6,2.9,149.4,0.0
Тернопіль,2021,8,17.7,29.0,8.4,2.5,72.0,0.0
Тернопіль,2021,9,12.5,24.4,3.4,3.3,35.0,0.0
Тернопіль,2021,10,7.1,17.2,-3.5,3.3,3.8,0.0
Тернопіль,2021,11,4.1,14.1,-6.5,3.9,7.1,0.0
Тернопіль,2021,12,-2.5,8.1,-19.6,4.3,85.9,11.0
Тетерів (Пісківка),2021,1,-2.6,8.2,-23.4,1.4,66.6,10.0
Тетерів (Пісківка),2021,2,-5.0,11.3,-24.6,1.5,62.7,27.0
Тетерів (Пісківка),2021,3,2.2,14.6,-10.9,1.6,20.9,6.0
Тетерів (Пісківка),2021,4,7.1,20.2,-3.8,1.1,49.2,0.0
Тетерів (Пісківка),2021,5,13.8,25.2,0.4,1.4,107.3,0.0
Тетерів (Пісківка),2021,6,20.9,36.8,5.4,1.4,41.4,0.0
Тетерів (Пісківка),2021,7,23.8,34.5,10.1,0.8,81.3,0.0
Тетерів (Пісківка),2021,8,19.7,32.0,9.2,1.1,64.2,0.0
Тетерів (Пісківка),2021,9,12.1,25.6,0.5,1.2,36.0,0.0
Тетерів (Пісківка),2021,10,7.2,17.6,-4.3,1.0,0.5,0.0
Тетерів (Пісківка),2021,11,4.3,17.0,-7.3,1.3,17.4,1.0
Тетерів (Пісківка),2021,12,-1.8,8.4,-15.4,1.3,76.8,12.0
Турка,2021,1,-2.1,9.8,-21.7,2.3,59.5,18.0
Турка,2021,2,-2.2,13.0,-18.4,2.5,81.0,38.0
Турка,2021,3,-0.1,16.6,-13.8,1.6,66.3,15.0
Турка,2021,4,4.0,18.3,-10.7,1.9,61.3,14.0
Турка,2021,5,10.6,25.4,-2.6,2.3,63.8,0.0
Турка,2021,6,16.0,32.0,-0.2,1.4,40.7,0.0
Турка,2021,7,19.2,30.3,9.0,1.3,123.7,0.0
Турка,2021,8,15.5,28.1,5.0,1.3,126.2,0.0
Турка,2021,9,10.7,24.0,0.3,1.4,73.2,0.0
Турка,2021,10,6.4,19.4,-5.9,1.7,8.0,0.0
Турка,2021,11,3.9,14.9,-5.2,1.8,64.6,6.0
Турка,2021,12,-3.3,4.7,-22.8,1.7,98.6,28.0
Ужгород,2021,1,0.9,10.3,-11.4,2.3,112.8,10.0
Ужгород,2021,2,1.0,14.5,-11.5,2.0,91.0,5.0
Ужгород,2021,3,4.1,18.7,-6.3,2.3,25.6,3.0
Ужгород,2021,4,8.5,21.7,-4.9,1.9,45.5,0.0
Ужгород,2021,5,14.4,28.1,3.7,1.8,53.8,0.0
Ужгород,2021,6,21.2,34.6,5.4,1.5,24.2,0.0
Ужгород,2021,7,23.7,33.6,13.0,1.3,50.7,0.0
Ужгород,2021,8,19.4,32.3,9.1,1.1,101.8,0.0
Ужгород,2021,9,15.1,26.8,4.0,1.1,30.9,0.0
Ужгород,2021,10,9.0,22.0,-3.1,1.2,5.5,0.0
Ужгород,2021,11,5.2,16.0,-4.8,1.0,78.4,0.0
Ужгород,2021,12,0.3,7.5,-12.7,1.3,75.3,7.0
Умань,2021,1,-2.3,8.3,-20.6,1.9,59.7,25.0
Умань,2021,2,-3.8,11.4,-18.3,2.0,42.2,29.0
Умань,2021,3,2.0,15.3,-8.6,2.1,33.2,10.0
Умань,2021,4,7.4,21.0,-2.8,1.5,50.9,0.0
Умань,2021,5,14.0,25.0,1.6,1.4,61.3,0.0
Умань,2021,6,19.8,32.0,8.7,1.6,105.1,0.0
Умань,2021,7,23.2,31.9,12.7,1.0,91.2,0.0
Умань,2021,8,20.3,31.4,11.1,1.2,70.2,0.0
Умань,2021,9,13.0,26.5,2.8,1.2,15.6,0.0
Умань,2021,10,7.2,19.6,-3.7,1.2,6.8,0.0
Умань,2021,11,4.7,15.9,-8.6,1.5,20.2,0.0
Умань,2021,12,-1.0,8.7,-14.0,1.8,92.2,13.0
Феодосія,2021,1,5.1,13.4,-13.2,3.8,38.7,10.0
Феодосія,2021,2,2.8,14.6,-7.0,3.8,21.6,14.0
Феодосія,2021,3,5.0,13.4,-5.2,3.9,36.1,0.0
Феодосія,2021,4,9.7,20.7,3.2,3.3,34.9,0.0
Феодосія,2021,5,17.0,26.3,7.6,3.5,6.9,0.0
Феодосія,2021,6,20.7,29.6,13.8,3.0,120.7,0.0
Феодосія,2021,7,26.7,35.2,18.2,2.9,36.7,0.0
Феодосія,2021,8,25.3,33.8,16.5,2.7,76.5,0.0
Феодосія,2021,9,17.7,28.0,8.8,3.4,30.6,0.0
Феодосія,2021,10,12.0,19.9,5.0,3.5,5.4,0.0
